ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
RELQUW,164.7,1.3958,1705107.5,4387,7.4,[O-][N+](=O)c1c(nc2n1cccc2C)c1ccccc1
RENTUZ,93.4,1.3631,233.8,5524,11.5,CN(c1ncnc(c1[N+](=O)[O-])N(C)C)C
REVRER,103,1.3852,301,5029,9.6,CCn1nc2c(c1)c(ccc2)[N+](=O)[O-]
REVRIV,95.6,1.3975,293.5,5042,9.7,CCn1ncc2c1cccc2[N+](=O)[O-]
REWDUS,-580.8,1.4394,292.7,4632,8.4,CCOC(=O)C1=C(C)NC(=O)N[C@@H]1c1cccc(c1)[N+](=O)[O-]
REYKAH,17.6,1.3471,284.9,4831,8.7,O=Cc1n(nnc1C(C)(C)C)c1ccc(cc1)[N+](=O)[O-]
REYKEO,172.6,1.663,129.9,8559,31.5,CO[N-][N+](=O)C([N+](=O)[N-]OC)CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
REZFUA,-103.4,1.3283,294.3,4206,6.5,CN(C(=O)c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
REZGEL,-264.8,1.3563,295.2,4380,7.2,COc1ccc(cc1)C(=O)N(c1ccc(cc1)[N+](=O)[O-])C
RIGHUK04,36.4,1.4461,272.5,5125,10.3,[O-][N+](=O)c1cc(ccc1Cc1ncccc1C)[N+](=O)[O-]
RIGJIA,316.2,1.83,139.8,8638,34.1,[O-][N+](=O)N1CN([C@H]2[C@@H]1[C@H]1[C@@H]2N(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
RIJBIY,86.6,1.433,282.6,4556,8.1,CC(=O)c1cccc(c1)n1nc2c(c1[N+](=O)[O-])cccc2
RIJMOM,-490.9,1.447,304.8,4859,9.3,OC[C@H]1O[C@H](C[C@@H]1O)n1ccc2c1ccc(c2)[N+](=O)[O-]
RIKNOO,131.4,1.5788,296.8,6927,20,[O-][N+](=O)c1cc[nH]n1
RIKZOD,287.8,1.7127,229.6,7642,25.6,[O-][N+](=O)c1cc(cc(c1Nn1nn[nH]c1=O)[N+](=O)[O-])[N+](=O)[O-]
RILXOB,181.2,1.4825,292,4789,9.2,O=[N+]1C(=[N+]=c2c(=C1C)cccc2)c1ccc(cc1)[N+](=O)[O-]
RINWUG,64.5,1.554,299.2,5526,12.6,O=C(c1ccncc1)N/N=C/c1ccc(o1)[N+](=O)[O-]
RINYOC,68.8,1.4535,307.4,5178,10.6,O=[N+](c1ccccc1)/C=C/1\C=CC(=[O+]1)[N+](=O)[O-]
RIQRIV,-60.3,1.3909,314,4119,6.5,Oc1ccc2c(c1Nc1ccc(cc1)[N+](=O)[O-])cccc2
RIRMAH,13.3,1.5185,309,5748,13.4,[O-][N+](=O)c1ccc(c(c1)N)N
RIYQOG,-213.9,1.687,230.2,7027,21.5,COc1ccc(c(c1c1c(OC)c(cc(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
RIYTID,115.1,1.3841,286.9,4879,9.1,N#Cc1cc(ccc1C)[N+](=O)[O-]
RIZGUD,72.9,1.5316,298.2,5718,13.3,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccco1)\C)[N+](=O)[O-]
ROFGAV,130.7,1.3872,271.4,4918,9.2,N#Cc1ccc(c(c1)[N+](=O)[O-])C
ROFHAV,-272.4,1.6899,258.6,6785,20,O=C1C[C@@H]([C@@H]2O[C@H]1OC2)n1cc(c(n1)[N+](=O)[O-])[N+](=O)[O-]
ROFNIK,304.1,1.4473,285.9,5654,12.6,Cc1ccc(cc1c1nnn[nH]1)[N+](=O)[O-]
ROFQIO,-132.1,1.5304,272.1,6481,17.1,ON(c1onc(c1)[N+](=O)[O-])[C@H]1CCCO1
ROGDEX,25.3,1.3414,272.1,4436,7.3,COc1ccc(cc1)/N=C/c1ccccc1[N+](=O)[O-]
ROGVAL,-354.3,1.5099,218.3,5496,12.2,CCOC(=O)[C@@]1(C[C@H]1c1cccc(c1)[N+](=O)[O-])[N+](=O)[O-]
ROHBAR,132.3,1.4414,291.3,4926,9.5,O=C(c1ccncc1)N/N=C/c1ccc(cc1)[N+](=O)[O-]
ROKREO,226.2,1.3261,274.9,4546,7.6,CCN(c1ccc(cc1)/N=N/c1ccccc1[N+](=O)[O-])CC
ROKZUM,-106.6,1.3935,297.8,4675,8.4,O=C1CCC(=C1)Nc1ccc(cc1)[N+](=O)[O-]
ROLBAV,158.7,1.5537,273.9,5745,13.6,[O-][N+](=O)c1ccnc(c1)c1nccc(c1)[N+](=O)[O-]
ROTXUV,-18.5,1.4585,290.7,4864,9.3,[O-][N+](=O)c1cccc(c1)c1cnc(nc1)N1CCOCC1
ROWHUI,-115.2,1.4215,288.7,4192,6.8,O=C(c1ccccc1Oc1ccccn1)c1ccc(cc1)[N+](=O)[O-]
RUBXOD,-81.1,1.5279,277.8,5633,12.9,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])N1CC=CC1
RUBYAQ,-59.6,1.3888,277.7,5274,10.6,C=CCN(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])CC=C
RUCRIR,-328.5,1.3833,324.3,4626,8.1,CCOC(=O)c1[nH]c(c2c1[C@@H]1CC[C@H]2C=C1)[N+](=O)[O-]
RUGJUZ,93.9,1.6374,257.9,7456,23.7,[O-][N+](=O)c1n(C)cnc1[N+](=O)[O-]
RUJJEM,-249.6,1.4742,285,4554,8.2,Oc1ccc(c(c1)/C=N/NC(=O)c1cc2ccccc2cc1O)[N+](=O)[O-]
RUJSEV,-294.2,1.4214,279.8,5049,9.9,[O-][N+](=O)c1ccccc1OCCCCOc1ccccc1[N+](=O)[O-]
RUQWEG,-154.3,1.434,296.8,4689,8.6,C/C(=N\NC(=O)c1ccccc1O)/c1ccc(cc1)[N+](=O)[O-]
RUSCOZ,386.5,1.4166,290.7,4346,7.3,N#C/C(=C\c1ccc(cc1)n1cncc1)/c1ccc(cc1)[N+](=O)[O-]
RUSHIW,531.5,1.5762,164.5,7043,20.6,N#[N+][N-][C@]1(C[C@H]2C[C@@H]1C[C@@]2([N-][N+]#N)[N+](=O)[O-])[N+](=O)[O-]
RUTFET,134.6,1.3993,291.3,4300,7.1,Oc1ccc2c(c1/C=N/N=C/c1ccc(cc1)[N+](=O)[O-])cccc2
RUVTAD01,-289,1.3328,313.2,4415,7.2,O[C@@H]1CCCC[C@H]1Nc1ccc(cc1)[N+](=O)[O-]
RUWCIV,83.8,1.4468,247.8,5186,10.6,[O-][N+](=O)c1cc(ccc1N(c1ccccc1)C)[N+](=O)[O-]
RUXFAT,-272.4,1.6899,258.7,6785,20,O=C1C[C@H]([C@H]2O[C@@H]1OC2)n1cc(c(n1)[N+](=O)[O-])[N+](=O)[O-]
SABDAC,-127.7,1.3926,269.3,4808,8.8,COc1ccc(cc1)Oc1ncccc1[N+](=O)[O-]
SABFIM,-283.8,1.4819,290.4,4589,8.4,O=C(c1ccccc1O)Nc1cccc(c1)[N+](=O)[O-]
SABJEM,-552.9,1.3553,329.6,5183,10.1,COC(CN1CCN2C1=C(CC[C@@H]2O)[N+](=O)[O-])OC
SAFMAQ,245.2,1.6449,280.4,6938,20.6,[O-][N+](=O)c1cc2nn[nH]c2c(c1)[N+](=O)[O-]
SAFQOH,-109.6,1.435,290,4746,8.8,Oc1ccc(cc1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-]
SAFYAB,346.6,1.4671,290,5320,11.2,N#Cc1nn(c(c1)N)c1ccc(cc1)[N+](=O)[O-]
SAGLOD,-530.8,1.4628,278.3,4968,9.8,CCOC(=O)c1ccccc1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
SAGVUT,70.1,1.3026,301.1,4727,8.1,N#Cc1ccc(c(c1)[N+](=O)[O-])NC(C)C
SAHBEK,-189.4,1.5376,276.5,6043,14.9,CNC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
SAHCOV,-217.8,1.318,259,4364,7,COc1c(O)ccc(c1[N+](=O)[O-])/C=N/c1cc(C)cc(c1)C
SAHLEU,-295,1.4308,286.8,4466,7.8,OC(=O)c1ccccc1Nc1ccccc1[N+](=O)[O-]
SAHSID,66.6,1.4908,248.8,5362,11.5,[O-][N+](=O)c1cc2ccccc2cc1[N+](=O)[O-]
SAJYAD,172.5,1.4708,285.3,5218,10.8,Oc1ccc(nc1)/N=N/c1cccc(c1)[N+](=O)[O-]
SALXEJ,193.7,1.5069,252,5996,14.5,[O-][N+](=O)c1cc(ccc1N1CCC=N1)[N+](=O)[O-]
SAMROP,-170.6,1.3939,206.1,5771,12.7,CN/C(=N\[N+](=O)[O-])/NC[C@H]1COCC1
SANQAA,120.6,1.382,296.1,4833,8.9,[O-][N+](=O)/C=C/c1nc2c(n1C)cccc2
SANXOV,-117.4,1.3532,292.9,4087,6.3,[O-][N+](=O)c1ccc(cc1)[C@H]1Nc2ccccc2[C@H]2[C@@H]1CCO2
SAPFUN,133.3,1.3103,312.6,4388,7,Nc1ccc(cc1/N=C/c1ccc(cc1)N(C)C)[N+](=O)[O-]
SAPGAS,-572.2,1.5614,263.7,6037,15.1,CCOC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
SAQVAG,-312.3,1.3863,290.6,4514,7.8,C[C@H]1CC=CC(=O)N1C(=O)c1ccc(cc1)[N+](=O)[O-]
SAQVIS,-29.6,1.425,294.4,4514,7.9,CN(c1ccc(cc1)c1nc2c(o1)ccc(c2)[N+](=O)[O-])C
SAQYAK,-249.8,1.463,278.1,5028,10,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1[C@H]2C=C[C@H]3[C@@H]1[C@H]3C2
SAQZAK,308,1.7998,170.5,8866,35.5,[O-][N+](=O)Cn1nnc(n1)[N+](=O)[O-]
SASMEH,-255.3,1.4627,292.4,4969,9.8,CCN1C(=O)/C(=N\Nc2ccc(cc2O)[N+](=O)[O-])/C(=C(C1=O)C#N)C
SATRIO,-423.1,1.5206,186.7,6753,18.5,CC(=O)NCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])CNC(=O)C
SATROU,-146.4,1.5178,155.1,7334,21.8,COC(N([N+](=O)[O-])C)N([N+](=O)[O-])C
SAWBOH,-144.4,1.7375,249.4,7340,23.8,[O-][N+](=O)c1cc(cc(c1C(=O)N)[N+](=O)[O-])[N+](=O)[O-]
SAWBUN,-329.8,1.7858,256.8,7461,25,[O-][N+](=O)c1cc(cc(c1C(=O)O)[N+](=O)[O-])[N+](=O)[O-]
SAWFUS,-180.7,1.3597,299.5,4367,7.2,COC(=O)/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
SAWMIO,-101.3,1.5284,281.1,5960,14.5,[O-][N+](=O)c1onc2c1CCCC2=O
SAWMUA,-278.7,1.7225,278.3,6822,20.5,[O-][N+](=O)c1onc2c1[C@@H]1CO[C@@H](O1)C2=O
SAWNAH,-259.1,1.6138,274.2,6806,19.6,[O-][N+](=O)c1cc(no1)C(=O)OC
SAWNEL,-202.5,1.4484,273.8,5192,10.6,O=C(c1noc(c1)[N+](=O)[O-])OCc1ccccc1
SAXBUR,173.9,1.4311,276.3,4497,7.9,[O-][N+](=O)c1c(onc1c1ccccc1)c1ccccc1
SAZJIN,-117.7,1.3238,310.7,4617,7.9,CCOc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
SAZPER,207.2,1.3208,297.4,3806,5.3,[O-][N+](=O)c1ccc2c(c1)N[C@@H](C(=N2)c1ccccc1)c1ccccc1
SEBHIQ,300.9,1.307,274.7,4684,8,CN(c1ccc(cc1)/N=N/c1ccccc1[N+](=O)[O-])C
SECHIT,-667.7,1.3943,277.2,5153,10.2,COC(=O)[C@@H](C(C)C)NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
SECJER,-278.5,1.5426,239.3,5795,13.8,Cc1ccc(cc1)C(=O)Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
SECSOK,43,1.2782,288.8,4437,7.1,[O-][N+](=O)c1cccc(c1)n1nc(cc1N)C(C)(C)C
SECVOL,74.3,1.6645,166.5,7643,25.2,[O-][N+](=O)N1CCCN(C1C1N(CCCN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
SECVON,-379.6,1.5032,263.3,5257,11.1,N#C/C(=C\c1cc2OCOc2cc1[N+](=O)[O-])/C(=O)OC
SEDMIZ,303.4,1.292,299,3988,5.8,[O-][N+](=O)c1ccc(cc1)/C=N/N(c1ccccc1)c1ccccc1
SEDTUQ03,-11.6,1.8935,285,8971,37.5,NC(=C([N+](=O)[O-])[N+](=O)[O-])N
SEFPEY,-235.1,1.3169,294.5,4028,6,Cc1cc(nc(c1)C)NC(=O)[C@@H](c1ccc(cc1)[N+](=O)[O-])C
SEGFAL,172.1,1.6727,264.9,7949,27.3,[O-][N+](=O)c1nn(c(n1)[N+](=O)[O-])C
SEGRUR,53.2,1.4738,281.9,5802,13.4,Nc1nccc(c1)[N+](=O)[O-]
SEGSEC,-816,1.6153,137.1,7617,24.5,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O)O[N+](=O)[O-])O[N+](=O)[O-]
SEJNEA,-115.2,1.3089,234.5,5193,9.9,CC(N(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C(C)C)C
SEKGUL,-509.2,1.143,211.8,3909,5,CC(=O)NC(CC([N+](=O)[O-])(C)C)(C)C
SEKHEW,-82.2,1.1485,206.1,4639,7.1,C#[N+]C(CC([N+](=O)[O-])(C)C)(C)C
SEKJAU,-161.5,1.1945,296.6,3818,5,CC1(C)NC(NC(C1)(C)C)c1ccc(cc1)[N+](=O)[O-]
SEKJEY,-335.4,1.2836,207.6,5599,11.3,CC([N+](=O)[O-])(CC([N+](=O)[O-])(C)C)C
SEMXAJ,-286.8,1.3049,224.4,5145,9.7,COc1c([N+](=O)[O-])c(C)c(cc1C(C)(C)C)[N+](=O)[O-]
SENHID,-205.3,1.4271,272.9,4743,8.7,COC(=O)c1cc(ncc1[N+](=O)[O-])Nc1ccccc1
SERMUZ,-242.5,1.4543,290.8,5083,10.2,CCOC(=O)c1n[nH]c2c1ccc(c2)[N+](=O)[O-]
SESSIT,75.6,1.3608,312.9,4689,8.3,CC1=NN([C@@H](C1)c1ccco1)c1ccc(cc1)[N+](=O)[O-]
SEZVEZ,-538.4,1.3588,287.9,4190,6.6,C[C@@H](C(=O)OCc1ccc(cc1)[N+](=O)[O-])C(=O)Nc1ccccc1
SICNUN,-314.5,1.7022,132,7144,22.3,OC(=O)CN(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
SIDQEB,-9.8,1.4049,289.1,4091,6.4,Oc1ccc2c(c1/C=N/c1cccc(c1)[N+](=O)[O-])cccc2
SIDVOQ,-122.6,1.4869,309.7,4999,10,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccc(c(c1)O)O
SILTOW01,-130.8,1.5674,286.2,5396,12.1,O=C(Nc1cccc(c1)[N+](=O)[O-])Nc1cccc(c1)[N+](=O)[O-]
SIMFAW,-186.4,1.4702,280.2,4364,7.6,[O-][N+](=O)c1ccc2c(c1)nc(oc2=O)c1ccccc1
SIMGUR,-62.5,1.3828,210.8,4938,9.3,[O-][N+](=O)/N=C/1\NCCN1CCC(=O)c1ccccc1
SIMYIX,-12.1,1.3184,309.1,4617,7.8,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccc2c(c1)OCO2
SINBEX,-347.5,1.4038,267.3,4630,8.2,CCOC(=O)c1c(C)nc(c(c1N)C#N)Oc1ccccc1[N+](=O)[O-]
SINHON,93.6,1.4264,291.2,4828,9.1,[O-][N+](=O)c1ccc(cc1)/C=C\c1ccc(cc1)[N+](=O)[O-]
SINRUC,-12.4,1.4803,291.9,4819,9.3,O=Cc1cccn1c1ccc(cc1)[N+](=O)[O-]
SINZEW,-285.2,1.5382,293,5017,10.3,O=C(c1cc(O)cc(c1)O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
SIRXAS,-20.2,1.5332,104.4,6286,16.1,[O-][N+](=O)[C@]1(C)C=C[C@@](c2c1cccc2)(C)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
SIRXOG,162.8,1.2437,291.3,3572,4.5,Cc1ccc(cc1)/N=C(\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
SIRXUM,164.7,1.2624,292.4,3608,4.6,Cc1ccc(cc1)/N=C(/c1ccc(cc1)[N+](=O)[O-])\c1ccccc1
SITHEK,245.6,1.6155,239.4,6442,17.5,[O-][N+](=O)c1cc(ccc1[N+](=O)[O-])n1cncn1
SITKAI,254.8,1.4386,264.9,4554,8.1,N#Cc1c(cccc1C#N)Oc1ccccc1[N+](=O)[O-]
SITLUF,-47.6,1.4506,293.3,4872,9.3,COc1cc(/C=N/N=C/c2ccc(cc2)[N+](=O)[O-])ccc1O
SITPIW,651.3,1.7126,234.6,7322,23.5,N#[N+]/N=C/1\N=C[N+](=N1)c1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
SITPOC,199.3,1.6561,290.4,6543,18.4,[O-][N+](=O)c1cc(n2cncn2)c(c(c1)[N+](=O)[O-])N
SITPUI,109.7,1.5741,247.4,6337,16.7,COc1ccc(c(c1[N+](=O)[O-])n1cncn1)[N+](=O)[O-]
SITQAP,186.4,1.5791,257.4,6142,15.7,[O-][N+](=O)c1cc(n2cncn2)c(c(c1)[N+](=O)[O-])C
SITQET,218.1,1.5121,245.3,6008,14.6,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1n1cncn1)C
SITQIX,195.8,1.575,250.2,6144,15.7,Cc1c(cc(cc1[N+](=O)[O-])n1ncnc1)[N+](=O)[O-]
SITQUJ,88.6,1.5912,240.9,6356,16.9,COc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])n1cncn1
SITRAQ,104.8,1.5924,257.5,6380,17,COc1cc(n2cncn2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
SIYWIH,-19.9,1.7395,309,6981,21.6,Nc1cc(N)c(cc1[N+](=O)[O-])[N+](=O)[O-]
SIZLUL,-83,1.339,311.6,4406,7.2,COc1ccc(c(c1)[N+](=O)[O-])NCc1ccccc1
SOBFOE,-102.4,1.9704,143.3,8774,36.7,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@@H]1[C@H](N2[N+](=O)[O-])N(C(=O)N1)[N+](=O)[O-]
SOBGAR,-82.3,1.9454,139.9,8716,35.9,[O-][N+](=O)N1[C@@H]2NC(=O)N([C@@H]2N([C@H]2[C@@H]1NC(=O)N2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
SOBWAI,157,1.3663,174.3,4660,8.2,[O-][N+](=O)/C(=C/c1ccccc1)/C1=[N+]([O-])O[C@@H](C1)c1ccccc1
SOBWEM,-41.9,1.3818,228.8,4471,7.6,[O-][N+](=O)/C(=C\C1=[N+]([O-])O[C@@H](C1)c1ccccc1)/c1ccccc1
SOGDAU,312.9,1.4186,304.8,5123,10.2,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1nccnc1
SOGVOZ,-47.6,1.4413,276.9,5677,12.6,CN1NC(C)(C)n2c(C1=O)c(nc2)[N+](=O)[O-]
SOHRUC,175.7,1.5567,265.7,5299,11.6,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])C=c2c1cc(c[n+]2=O)c1ccccc1
SOJGED01,-42.7,1.6278,302.1,6868,20,[O-][N+](=O)c1ccc(o1)/C=N\O
SOLTAP,-180.7,1.4839,295.7,4757,9,O=C1C=CC=C/C/1=C/Nc1cc(ccc1O)[N+](=O)[O-]
SONBUS,154.6,1.5592,288.4,5925,14.5,COc1nccnc1/C=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
SONDEE01,-334.3,1.6245,308.3,6136,16,NC(=O)OCc1ncc(n1C)[N+](=O)[O-]
SOPZIG,98.8,1.405,291.1,4840,9,Cc1nccn1c1ccc(cc1)[N+](=O)[O-]
SOPZOM,48,1.3807,292.3,4652,8.2,Cc1cn(c(n1)C)c1ccc(cc1)[N+](=O)[O-]
SOPZUS,69.4,1.3895,291.2,4718,8.5,CCc1nccn1c1ccc(cc1)[N+](=O)[O-]
SORBAC,184.6,1.3507,290.3,4181,6.5,[O-][N+](=O)c1ccc(cc1)n1ccnc1c1ccccc1
SORBEG,190.1,1.4935,296.4,5233,11,[O-][N+](=O)c1ccc(cc1)n1cccn1
SORBUW,116.2,1.4295,296.1,4747,8.8,[O-][N+](=O)c1ccc(cc1)n1cccc1
SORYEE01,76.7,1.4472,244.2,5421,11.5,CN(c1ccc(c2c1c(ccc2[N+](=O)[O-])N(C)C)[N+](=O)[O-])C
SOSYAC,-722,1.4394,318.1,4627,8.4,C[C@@H](Cn1c(C)ncc1[N+](=O)[O-])OC(=O)c1ccccc1C(=O)O
SOWXUX,345.1,1.6253,282.5,6144,16,[O-][N+](=O)c1cc([N+](=O)[O-])c2c(c1Nc1ccccc1)non2
SOXNEA,139.8,1.5128,285.2,5581,12.6,[N-]=[N+]=CC(=O)c1cccc(c1)[N+](=O)[O-]
SOYRUU,-279.6,1.3744,303.7,4392,7.3,COC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
SOZVOU,51.8,1.3868,293.5,4169,6.6,[O-][N+](=O)c1ccc(cc1)[C@]1(C)Nc2cccc3c2C(=N1)C=CC3=O
SUBWIV,513.8,1.4343,290.7,5472,11.7,N#CC(=NNc1ccc(cc1)[N+](=O)[O-])C#N
SUDFOM,-210.7,1.5006,204.2,4876,9.6,[O-][N+](=O)[C@@H]1Oc2c([C@H]1c1ccccc1)c(=O)[nH]cn2
SUGFOP,-497.5,1.8177,170.6,8735,34.7,O[C@H](C([N+](=O)[O-])[N+](=O)[O-])[C@H](C([N+](=O)[O-])[N+](=O)[O-])O
SUGFUV,-864.6,1.6744,151.6,7460,24.1,CC(=O)O[C@H]([C@@H](C([N+](=O)[O-])[N+](=O)[O-])OC(=O)C)C([N+](=O)[O-])[N+](=O)[O-]
SULROG,-298.6,1.5144,298.1,5881,14,[O-][N+](=O)c1nccn1CC(=O)NCCO
SULSID,-154.4,1.4245,265.9,4833,9.1,Cc1cc(/C=C/c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])cc(c1O)C
SUVLAW,305,1.5152,287.3,5679,13.1,[O-][N+](=O)c1cccc(c1)N/N=N/c1cccc(c1)[N+](=O)[O-]
SUVQOP,-199.4,1.3819,305.4,4636,8.2,OCCCc1c[nH]c2c1cc(cc2)[N+](=O)[O-]
SUWFIZ,174.5,1.4115,298.8,5355,11.1,[O-][N+](=O)c1ccc(c2c1non2)N1CCCCCCC1
SUYREK,-343.4,1.4143,364.1,5721,12.6,COC(CN1CCN/C/1=C\[N+](=O)[O-])OC
SUZCEX,215.6,1.3555,1404889.6,4924,9.1,CN(c1ccc(cc1)/C=C(/[N+](=O)[O-])\C#N)C
SUZRAH,-353,1.4257,364.5,5502,11.8,[O-][N+](=O)/C=C/1\NCCN1C[C@@H]1CCOCO1
TABRET,291.2,1.572,296.4,6307,16.5,[O-][N+](=O)c1ccc(o1)/C=N/n1cncn1
TABZII,-183.2,1.3359,292.2,4313,6.9,CC1=NN([C@H](C1)c1ccccc1O)C(=O)c1ccc(cc1)[N+](=O)[O-]
TACGIN,287.5,1.5696,310.1,6671,18.5,[O-][N+](=O)c1cnn(c1)Cn1ncc(c1)[N+](=O)[O-]
TADVAW,65.7,1.3616,298.4,5618,11.9,CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
TAFCEI,123.7,1.5283,230.7,5224,11.1,[O-][N+](=O)c1cc(cc(c1Nc1ccc(cc1)c1ccccc1)[N+](=O)[O-])[N+](=O)[O-]
TAFDUZ,-253.6,1.646,130.2,6911,20.4,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2C[C@@H]3C[C@H]1C([C@H](C2)C3)([N+](=O)[O-])[N+](=O)[O-]
TAFFIP,9.3,1.4823,113.1,4850,9.4,[O-][N+](=O)[C@@H]1c2ccccc2[C@H](c2c1cccc2)[N+](=O)[O-]
TAFMEV,25,1.4764,293.7,5189,10.7,COc1ccc(c(c1)[N+](=O)[O-])Nc1ncccn1
TAFTOJ,-83.5,1.6225,259.6,6870,20,COc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
TALBIU,-379.9,1.687,178.5,7494,24.4,O=C(N[N+](=O)[O-])OCC#CCOC(=O)N[N+](=O)[O-]
TANHAR,401.1,1.367,187.5,4810,8.7,N#C[C@]1(C=C1c1ccccc1)[N+](=O)[O-]
TANPUT,-27.9,1.5174,289.5,5409,11.9,O=C1NC(=O)[C@H](C1)c1cccc(c1)[N+](=O)[O-]
TAPPIK,-67,1.3336,302.9,4421,7.2,CN(c1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-])C
TAPQAD,77.1,1.4363,292.9,4497,7.9,N#Cc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-]
TATNBZ,-15.3,1.9374,347.8,8152,31.4,Nc1c([N+](=O)[O-])c(N)c(c(c1[N+](=O)[O-])N)[N+](=O)[O-]
TAWLUZ01,136.2,1.3922,293.1,3770,5.4,[O-][N+](=O)c1ccc(cc1)n1c2ccccc2c2c1cccc2
TAXDUU,-45.9,1.609,150.4,7184,21.8,[O-][N+](=O)OCc1onc(c1)c1noc(c1)CO[N+](=O)[O-]
TAXSER,61.8,1.4942,242.7,6299,15.9,CCC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/[N+](=O)[O-]
TAYHUX,563.6,1.8676,254.7,7701,27.4,[O-][N+](=O)c1cc([N+](=O)[O-])c2c(c1)[N+]1=c3nc(cc(c3=N[N+]1=N2)[N+](=O)[O-])[N+](=O)[O-]
TAYVUN,-106,1.4974,287.2,4307,7.5,[O-][N+](=O)c1ccc2c(c1)oc1c(n2)c2ccccc2c(=O)c1C
TAZVAS,190,1.3526,290.5,3902,5.7,[O-][N+](=O)c1ccc(cc1)/C=N/c1cccc2c1cccc2
TEBCAE,-106.3,1.6255,232.6,6065,15.6,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@]5([C@H]2C[C@H]3[C@@]5([C@H]4C1)[N+](=O)[O-])[N+](=O)[O-]
TEBHAJ,53.4,1.5282,266.3,5433,12,[O-][N+](=O)c1cc(cc2c1cccc2)[N+](=O)[O-]
TECQUN,-492,1.4258,284.9,4818,9,COC(=O)/C(=C(/[N+](=O)[O-])\C)/NC(=O)c1ccccc1
TECSAX,-12.5,1.408,288.5,5691,12.5,CC/[NH+]=C/1\C=C([N+](=O)[O-])C(=C[N+]1=O)C
TECSEB,8.4,1.3914,278.3,5689,12.4,CC/[NH+]=C\1/[N+](=O)C=CC(=C1C)[N+](=O)[O-]
TEDYAC,250,1.3137,251.8,4207,6.5,N#C/C(=C\c1ccccc1)/c1cc(C)nc(c1[N+](=O)[O-])C
TEDYOT,253.7,1.9896,189.5,8935,38.2,[O-][N+](=O)/N=c/1\[nH]nc(o1)c1n[nH]/c(=N\[N+](=O)[O-])/o1
TEFVEG,-247.5,1.4244,291,4548,8,N#CC1=C(N)Oc2c([C@@H]1c1cccc(c1)[N+](=O)[O-])c(=O)oc(c2)C
TEHGUI,-31.9,1.379,312.4,5067,9.7,Cc1ccc(c(c1)[N+](=O)[O-])N
